Country Name,Continent
Austria,Europe
Belgium,Europe
Brazil,America
China,Asia
Denmark,Europe
Estonia,Europe
European Union,Europe
Hungary,Europe
Iceland,Europe
Israel,Middle East
Latin America & Caribbean,America
Latvia,Europe
Lithuania,Europe
Luxembourg,Europe
Middle East & North Africa,Middle East
OECD members,World
Poland,Europe
Slovak Republic,Europe
Slovenia,Europe
South Asia (IDA & IBRD),Asia
Sweden,Europe
Turkey,Middle East
World,World
Chile,America
Mexico,America
United States,America
Japan,Asia
"Korea, Rep.",Asia
Czech Republic,Europe
Finland,Europe
France,Europe
Germany,Europe
Greece,Europe
Ireland,Europe
Italy,Europe
Netherlands,Europe
Norway,Europe
Portugal,Europe
Spain,Europe
United Kingdom,Europe
Australia,Europe
New Zealand,Europe
